0.117122 0.112915 0.114062 0.118527 0.123712 0.114165
0.109248 0.10721 0.110617 0.113825 0.115226 0.108189 
0.106476 0.104388 0.102611 0.108366 0.112006 0.105735 
0.101318 0.102898 0.100013 0.101461 0.108309 0.102317 
0.0963332 0.0984609 0.0985757 0.09638 0.102341 0.0963424 

0.111857 0.106884 0.10885 0.113438 0.115543 0.108993
0.103809 0.102817 0.104342 0.108542 0.109608 0.102813
0.100351 0.0965985 0.10051 0.10396 0.103931 0.101515
0.0945685 0.0951054 0.0956286 0.101364 0.100726 0.0976011
0.0918057 0.0922139 0.092068 0.0963429 0.096898 0.092475
